'Africa', 'Abidjan', '04:49 PM Mon - Nov 29 - 2021', ' GMT', '00.00',
'Pacific', 'Fiji', '04:49 AM Tue - Nov 30 - 2021', ' FJT', '+12.00',
'Pacific', 'Funafuti', '04:49 AM Tue - Nov 30 - 2021', ' TVT', '+12.00',
'Pacific', 'Galapagos', '10:49 AM Mon - Nov 29 - 2021', ' GALT', '-06.00',
'Pacific', 'Guadalcanal', '03:49 AM Tue - Nov 30 - 2021', ' SBT', '+11.00',
'Pacific', 'Guam', '02:49 AM Tue - Nov 30 - 2021', ' ChST', '+10.00',
'Pacific', 'Honolulu', '06:49 AM Mon - Nov 29 - 2021', ' HST', '-10.00',
'Pacific', 'Kiritimati', '06:49 AM Tue - Nov 30 - 2021', ' LINT', '+14.00',
'Pacific', 'Kosrae', '03:49 AM Tue - Nov 30 - 2021', ' KOST', '+11.00',
'Pacific', 'Nauru', '04:49 AM Tue - Nov 30 - 2021', ' NRT', '+12.00',
'Pacific', 'Niue', '05:49 AM Mon - Nov 29 - 2021', ' NUT', '-11.00',
'Pacific', 'Norfolk', '04:19 AM Tue - Nov 30 - 2021', ' NFT', '+11.50',
'Pacific', 'Noumea', '03:49 AM Tue - Nov 30 - 2021', ' NCT', '+11.00',
'Pacific', 'Palau', '01:49 AM Tue - Nov 30 - 2021', ' PWT', '+09.00',
'Pacific', 'Pitcairn', '08:49 AM Mon - Nov 29 - 2021', ' PST', '-08.00',
'Pacific', 'Ponape', '03:49 AM Tue - Nov 30 - 2021', ' PONT', '+11.00',
'Pacific', 'Port_Moresby', '02:49 AM Tue - Nov 30 - 2021', ' PGT', '+10.00',
'Pacific', 'Rarotonga', '06:49 AM Mon - Nov 29 - 2021', ' CKT', '-10.00',
'Pacific', 'Saipan', '02:49 AM Tue - Nov 30 - 2021', ' ChST', '+10.00',
'Pacific', 'Samoa', '05:49 AM Mon - Nov 29 - 2021', ' SST', '-11.00',
'Pacific', 'Tahiti', '06:49 AM Mon - Nov 29 - 2021', ' TAHT', '-10.00',
'Pacific', 'Tarawa', '04:49 AM Tue - Nov 30 - 2021', ' GILT', '+12.00',
'Pacific', 'Tongatapu', '05:49 AM Tue - Nov 30 - 2021', ' TOT', '+13.00',
'Pacific', 'Truk', '02:49 AM Tue - Nov 30 - 2021', ' CHUT', '+10.00',
'Pacific', 'Wallis', '04:49 AM Tue - Nov 30 - 2021', ' WFT', '+12.00',
'Pacific', 'Yap', '02:49 AM Tue - Nov 30 - 2021', ' CHUT', '+10.00',
'America', 'Samoa', '05:49 AM Mon - Nov 29 - 2021', ' SST', '-11.00';
